PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,9856,448,197,3,22,"(49, 246)",1,13,32,"(69, 266)",1,1,12,"(44, 71)",42,42,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,10304,448,169,3,23,"(49, 246)",2,13,33,"(69, 266)",1,1,13,"(44, 71)",42,43,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,10752,448,218,3,24,"(49, 246)",3,13,34,"(69, 266)",1,1,14,"(44, 71)",42,44,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,13440,448,167,3,30,"(49, 246)",4,13,40,"(69, 266)",1,1,20,"(44, 71)",42,50,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,13888,448,156,3,31,"(49, 246)",5,13,41,"(69, 266)",1,1,21,"(44, 71)",42,51,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1344,14336,448,216,3,32,"(49, 246)",6,13,42,"(69, 266)",1,1,22,"(44, 71)",42,52,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,8960,448,187,4,20,"(49, 246)",7,14,30,"(69, 266)",1,2,10,"(44, 71)",41,40,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,9408,448,170,4,21,"(49, 246)",8,14,31,"(69, 266)",1,2,11,"(44, 71)",41,41,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,9856,448,138,4,22,"(49, 246)",9,14,32,"(69, 266)",1,2,12,"(44, 71)",41,42,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,10304,448,140,4,23,"(49, 246)",10,14,33,"(69, 266)",1,2,13,"(44, 71)",41,43,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,10752,448,167,4,24,"(49, 246)",11,14,34,"(69, 266)",1,2,14,"(44, 71)",41,44,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,11200,448,210,4,25,"(49, 246)",12,14,35,"(69, 266)",1,2,15,"(44, 71)",41,45,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,11648,448,188,4,26,"(49, 246)",13,14,36,"(69, 266)",1,2,16,"(44, 71)",41,46,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,12096,448,155,4,27,"(49, 246)",14,14,37,"(69, 266)",1,2,17,"(44, 71)",41,47,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,12544,448,147,4,28,"(49, 246)",15,14,38,"(69, 266)",1,2,18,"(44, 71)",41,48,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,12992,448,156,4,29,"(49, 246)",16,14,39,"(69, 266)",1,2,19,"(44, 71)",41,49,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,13440,448,148,4,30,"(49, 246)",17,14,40,"(69, 266)",1,2,20,"(44, 71)",41,50,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,13888,448,140,4,31,"(49, 246)",18,14,41,"(69, 266)",1,2,21,"(44, 71)",41,51,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,14336,448,174,4,32,"(49, 246)",19,14,42,"(69, 266)",1,2,22,"(44, 71)",41,52,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,99456,448,173,4,222,"(49, 246)",20,14,232,"(69, 266)",2,1,53,"(44, 71)",0,18,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,99904,448,155,4,223,"(49, 246)",21,14,233,"(69, 266)",2,1,54,"(44, 71)",0,19,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,1792,100352,448,214,4,224,"(49, 246)",22,14,234,"(69, 266)",2,1,55,"(44, 71)",0,20,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,8512,448,199,5,19,"(49, 246)",23,15,29,"(69, 266)",1,3,9,"(44, 71)",40,39,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,8960,448,167,5,20,"(49, 246)",24,15,30,"(69, 266)",1,3,10,"(44, 71)",40,40,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,9408,448,158,5,21,"(49, 246)",25,15,31,"(69, 266)",1,3,11,"(44, 71)",40,41,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,9856,448,133,5,22,"(49, 246)",26,15,32,"(69, 266)",1,3,12,"(44, 71)",40,42,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,10304,448,132,5,23,"(49, 246)",27,15,33,"(69, 266)",1,3,13,"(44, 71)",40,43,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,10752,448,130,5,24,"(49, 246)",28,15,34,"(69, 266)",1,3,14,"(44, 71)",40,44,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,11200,448,156,5,25,"(49, 246)",29,15,35,"(69, 266)",1,3,15,"(44, 71)",40,45,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,11648,448,143,5,26,"(49, 246)",30,15,36,"(69, 266)",1,3,16,"(44, 71)",40,46,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,12096,448,143,5,27,"(49, 246)",31,15,37,"(69, 266)",1,3,17,"(44, 71)",40,47,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,12544,448,142,5,28,"(49, 246)",32,15,38,"(69, 266)",1,3,18,"(44, 71)",40,48,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,12992,448,142,5,29,"(49, 246)",33,15,39,"(69, 266)",1,3,19,"(44, 71)",40,49,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,13440,448,132,5,30,"(49, 246)",34,15,40,"(69, 266)",1,3,20,"(44, 71)",40,50,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,13888,448,141,5,31,"(49, 246)",35,15,41,"(69, 266)",1,3,21,"(44, 71)",40,51,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,14336,448,169,5,32,"(49, 246)",36,15,42,"(69, 266)",1,3,22,"(44, 71)",40,52,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,95872,448,200,5,214,"(49, 246)",37,15,224,"(69, 266)",2,2,45,"(44, 71)",1,10,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,96320,448,172,5,215,"(49, 246)",38,15,225,"(69, 266)",2,2,46,"(44, 71)",1,11,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,96768,448,218,5,216,"(49, 246)",39,15,226,"(69, 266)",2,2,47,"(44, 71)",1,12,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,98112,448,182,5,219,"(49, 246)",40,15,229,"(69, 266)",2,2,50,"(44, 71)",1,15,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,98560,448,160,5,220,"(49, 246)",41,15,230,"(69, 266)",2,2,51,"(44, 71)",1,16,"(44, 65)"
TCGA-44-2655,TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a,2240,99008,448,166,5,221,"(49, 246)",42,15,231,"(69, 266)",2,2,52,"(44, 71)",1,17,"(44, 65)"
