PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,60480,448,191,1,135,"(150, 177)",1,11,145,"(170, 197)",3,1,71,"(67, 105)",1,70,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,60928,448,207,1,136,"(150, 177)",2,11,146,"(170, 197)",3,1,72,"(67, 105)",1,71,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,61376,448,186,1,137,"(150, 177)",3,11,147,"(170, 197)",3,1,73,"(67, 105)",1,72,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,61824,448,173,1,138,"(150, 177)",4,11,148,"(170, 197)",3,1,74,"(67, 105)",1,73,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,62272,448,150,1,139,"(150, 177)",5,11,149,"(170, 197)",3,1,75,"(67, 105)",1,74,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,62720,448,179,1,140,"(150, 177)",6,11,150,"(170, 197)",3,1,76,"(67, 105)",1,75,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,64512,448,169,1,144,"(150, 177)",7,11,154,"(170, 197)",3,1,80,"(67, 105)",1,79,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,64960,448,149,1,145,"(150, 177)",8,11,155,"(170, 197)",3,1,81,"(67, 105)",1,80,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,448,65408,448,211,1,146,"(150, 177)",9,11,156,"(170, 197)",3,1,82,"(67, 105)",1,81,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,60032,448,192,2,134,"(150, 177)",10,12,144,"(170, 197)",3,2,70,"(67, 105)",2,69,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,60480,448,156,2,135,"(150, 177)",11,12,145,"(170, 197)",3,2,71,"(67, 105)",2,70,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,60928,448,164,2,136,"(150, 177)",12,12,146,"(170, 197)",3,2,72,"(67, 105)",2,71,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,61376,448,158,2,137,"(150, 177)",13,12,147,"(170, 197)",3,2,73,"(67, 105)",2,72,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,61824,448,141,2,138,"(150, 177)",14,12,148,"(170, 197)",3,2,74,"(67, 105)",2,73,"(67, 104)"
TCGA-44-2657,TCGA-44-2657-01Z-00-DX1.b7f608bd-2381-40a2-a757-ca4648a7de8a,896,62272,448,133,2,139,"(150, 177)",15,12,149,"(170, 197)",3,2,75,"(67, 105)",2,74,"(67, 104)"
