PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,448,9856,448,212,1,22,"(157, 55)",1,11,32,"(177, 75)",2,19,38,"(52, 82)",18,0,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,448,11200,448,214,1,25,"(157, 55)",2,11,35,"(177, 75)",2,22,38,"(52, 82)",21,0,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,448,11648,448,209,1,26,"(157, 55)",3,11,36,"(177, 75)",2,23,38,"(52, 82)",22,0,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,448,12096,448,195,1,27,"(157, 55)",4,11,37,"(177, 75)",2,24,38,"(52, 82)",23,0,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,448,12544,448,219,1,28,"(157, 55)",5,11,38,"(177, 75)",2,25,38,"(52, 82)",24,0,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,8960,448,215,2,20,"(157, 55)",6,12,30,"(177, 75)",2,17,39,"(52, 82)",16,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,9408,448,207,2,21,"(157, 55)",7,12,31,"(177, 75)",2,18,39,"(52, 82)",17,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,9856,448,193,2,22,"(157, 55)",8,12,32,"(177, 75)",2,19,39,"(52, 82)",18,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,10304,448,200,2,23,"(157, 55)",9,12,33,"(177, 75)",2,20,39,"(52, 82)",19,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,10752,448,186,2,24,"(157, 55)",10,12,34,"(177, 75)",2,21,39,"(52, 82)",20,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,11200,448,176,2,25,"(157, 55)",11,12,35,"(177, 75)",2,22,39,"(52, 82)",21,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,11648,448,180,2,26,"(157, 55)",12,12,36,"(177, 75)",2,23,39,"(52, 82)",22,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,12096,448,200,2,27,"(157, 55)",13,12,37,"(177, 75)",2,24,39,"(52, 82)",23,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,12544,448,201,2,28,"(157, 55)",14,12,38,"(177, 75)",2,25,39,"(52, 82)",24,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,12992,448,197,2,29,"(157, 55)",15,12,39,"(177, 75)",2,26,39,"(52, 82)",25,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,13440,448,185,2,30,"(157, 55)",16,12,40,"(177, 75)",2,27,39,"(52, 82)",26,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,13888,448,192,2,31,"(157, 55)",17,12,41,"(177, 75)",2,28,39,"(52, 82)",27,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,14336,448,214,2,32,"(157, 55)",18,12,42,"(177, 75)",2,29,39,"(52, 82)",28,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,16128,448,210,2,36,"(157, 55)",19,12,46,"(177, 75)",2,33,39,"(52, 82)",32,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,896,16576,448,216,2,37,"(157, 55)",20,12,47,"(177, 75)",2,34,39,"(52, 82)",33,1,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,7616,448,211,3,17,"(157, 55)",21,13,27,"(177, 75)",2,14,40,"(52, 82)",13,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,8064,448,203,3,18,"(157, 55)",22,13,28,"(177, 75)",2,15,40,"(52, 82)",14,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,8512,448,212,3,19,"(157, 55)",23,13,29,"(177, 75)",2,16,40,"(52, 82)",15,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,8960,448,200,3,20,"(157, 55)",24,13,30,"(177, 75)",2,17,40,"(52, 82)",16,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,9408,448,194,3,21,"(157, 55)",25,13,31,"(177, 75)",2,18,40,"(52, 82)",17,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,9856,448,217,3,22,"(157, 55)",26,13,32,"(177, 75)",2,19,40,"(52, 82)",18,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,10304,448,204,3,23,"(157, 55)",27,13,33,"(177, 75)",2,20,40,"(52, 82)",19,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,10752,448,188,3,24,"(157, 55)",28,13,34,"(177, 75)",2,21,40,"(52, 82)",20,2,"(52, 80)"
TCGA-44-2659,TCGA-44-2659-01Z-00-DX1.b33f40e6-bc18-48b0-8dad-bdb0a6a200b5,1344,11200,448,175,3,25,"(157, 55)",29,13,35,"(177, 75)",2,22,40,"(52, 82)",21,2,"(52, 80)"
