PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1344,9856,448,208,3,22,"(79, 237)",1,13,32,"(99, 257)",2,21,1,"(50, 163)",28,68,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1344,92288,448,217,3,206,"(79, 237)",2,13,216,"(99, 257)",3,20,91,"(50, 163)",19,0,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1344,92736,448,211,3,207,"(79, 237)",3,13,217,"(99, 257)",3,21,91,"(50, 163)",20,0,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,8960,448,188,4,20,"(79, 237)",4,14,30,"(99, 257)",2,19,2,"(50, 163)",30,69,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,9408,448,127,4,21,"(79, 237)",5,14,31,"(99, 257)",2,20,2,"(50, 163)",29,69,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,9856,448,109,4,22,"(79, 237)",6,14,32,"(99, 257)",2,21,2,"(50, 163)",28,69,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,10304,448,184,4,23,"(79, 237)",7,14,33,"(99, 257)",2,22,2,"(50, 163)",27,69,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,86912,448,215,4,194,"(79, 237)",8,14,204,"(99, 257)",3,8,92,"(50, 163)",7,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,90944,448,216,4,203,"(79, 237)",9,14,213,"(99, 257)",3,17,92,"(50, 163)",16,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,91392,448,206,4,204,"(79, 237)",10,14,214,"(99, 257)",3,18,92,"(50, 163)",17,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,91840,448,160,4,205,"(79, 237)",11,14,215,"(99, 257)",3,19,92,"(50, 163)",18,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,92288,448,107,4,206,"(79, 237)",12,14,216,"(99, 257)",3,20,92,"(50, 163)",19,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,1792,92736,448,126,4,207,"(79, 237)",13,14,217,"(99, 257)",3,21,92,"(50, 163)",20,1,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,2240,2688,448,216,5,6,"(79, 237)",14,15,16,"(99, 257)",2,5,3,"(50, 163)",44,70,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,2240,3136,448,202,5,7,"(79, 237)",15,15,17,"(99, 257)",2,6,3,"(50, 163)",43,70,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,2240,3584,448,181,5,8,"(79, 237)",16,15,18,"(99, 257)",2,7,3,"(50, 163)",42,70,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,2240,4032,448,168,5,9,"(79, 237)",17,15,19,"(99, 257)",2,8,3,"(50, 163)",41,70,"(50, 140)"
TCGA-44-2665,TCGA-44-2665-01Z-00-DX1.d429e37e-3915-4da6-b5bc-bf2f09f4fbf7,2240,4480,448,166,5,10,"(79, 237)",18,15,20,"(99, 257)",2,9,3,"(50, 163)",40,70,"(50, 140)"
