PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,896,2688,448,214,2,6,"(93, 286)",1,12,16,"(113, 306)",1,3,68,"(36, 198)",2,120,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,896,3136,448,154,2,7,"(93, 286)",2,12,17,"(113, 306)",1,4,68,"(36, 198)",3,120,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,896,3584,448,190,2,8,"(93, 286)",3,12,18,"(113, 306)",1,5,68,"(36, 198)",4,120,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,2688,448,142,3,6,"(93, 286)",4,13,16,"(113, 306)",1,3,69,"(36, 198)",2,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,3136,448,116,3,7,"(93, 286)",5,13,17,"(113, 306)",1,4,69,"(36, 198)",3,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,3584,448,153,3,8,"(93, 286)",6,13,18,"(113, 306)",1,5,69,"(36, 198)",4,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,4032,448,165,3,9,"(93, 286)",7,13,19,"(113, 306)",1,6,69,"(36, 198)",5,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,4480,448,211,3,10,"(93, 286)",8,13,20,"(113, 306)",1,7,69,"(36, 198)",6,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,5376,448,216,3,12,"(93, 286)",9,13,22,"(113, 306)",1,9,69,"(36, 198)",8,121,"(36, 185)"
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1.f66fa464-dad1-4a9f-8486-3d7579ca42b6,1344,5824,448,146,3,13,"(93, 286)",10,13,23,"(113, 306)",1,10,69,"(36, 198)",9,121,"(36, 185)"
