PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,896,43456,448,200,2,97,"(78, 119)",1,12,107,"(98, 139)",1,1,96,"(75, 118)",1,96,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,896,43904,448,195,2,98,"(78, 119)",2,12,108,"(98, 139)",1,1,97,"(75, 118)",1,97,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,896,44352,448,210,2,99,"(78, 119)",3,12,109,"(98, 139)",1,1,98,"(75, 118)",1,98,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,43008,448,165,3,96,"(78, 119)",4,13,106,"(98, 139)",1,2,95,"(75, 118)",2,95,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,43456,448,125,3,97,"(78, 119)",5,13,107,"(98, 139)",1,2,96,"(75, 118)",2,96,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,43904,448,123,3,98,"(78, 119)",6,13,108,"(98, 139)",1,2,97,"(75, 118)",2,97,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,44352,448,125,3,99,"(78, 119)",7,13,109,"(98, 139)",1,2,98,"(75, 118)",2,98,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,44800,448,133,3,100,"(78, 119)",8,13,110,"(98, 139)",1,2,99,"(75, 118)",2,99,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1344,45248,448,195,3,101,"(78, 119)",9,13,111,"(98, 139)",1,2,100,"(75, 118)",2,100,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,42560,448,175,4,95,"(78, 119)",10,14,105,"(98, 139)",1,3,94,"(75, 118)",3,94,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,43008,448,121,4,96,"(78, 119)",11,14,106,"(98, 139)",1,3,95,"(75, 118)",3,95,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,43456,448,107,4,97,"(78, 119)",12,14,107,"(98, 139)",1,3,96,"(75, 118)",3,96,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,43904,448,112,4,98,"(78, 119)",13,14,108,"(98, 139)",1,3,97,"(75, 118)",3,97,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,44352,448,108,4,99,"(78, 119)",14,14,109,"(98, 139)",1,3,98,"(75, 118)",3,98,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,44800,448,106,4,100,"(78, 119)",15,14,110,"(98, 139)",1,3,99,"(75, 118)",3,99,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,45248,448,115,4,101,"(78, 119)",16,14,111,"(98, 139)",1,3,100,"(75, 118)",3,100,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,1792,45696,448,176,4,102,"(78, 119)",17,14,112,"(98, 139)",1,3,101,"(75, 118)",3,101,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,42112,448,196,5,94,"(78, 119)",18,15,104,"(98, 139)",1,4,93,"(75, 118)",4,93,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,42560,448,133,5,95,"(78, 119)",19,15,105,"(98, 139)",1,4,94,"(75, 118)",4,94,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,43008,448,105,5,96,"(78, 119)",20,15,106,"(98, 139)",1,4,95,"(75, 118)",4,95,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,43456,448,99,5,97,"(78, 119)",21,15,107,"(98, 139)",1,4,96,"(75, 118)",4,96,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,43904,448,107,5,98,"(78, 119)",22,15,108,"(98, 139)",1,4,97,"(75, 118)",4,97,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,44352,448,99,5,99,"(78, 119)",23,15,109,"(98, 139)",1,4,98,"(75, 118)",4,98,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,44800,448,101,5,100,"(78, 119)",24,15,110,"(98, 139)",1,4,99,"(75, 118)",4,99,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,45248,448,110,5,101,"(78, 119)",25,15,111,"(98, 139)",1,4,100,"(75, 118)",4,100,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,45696,448,122,5,102,"(78, 119)",26,15,112,"(98, 139)",1,4,101,"(75, 118)",4,101,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2240,46144,448,193,5,103,"(78, 119)",27,15,113,"(98, 139)",1,4,102,"(75, 118)",4,102,"(75, 118)"
TCGA-44-3398,TCGA-44-3398-01Z-00-DX1.74757c91-a0c6-4e7f-b2db-8748c68ffa44,2688,41664,448,209,6,93,"(78, 119)",28,16,103,"(98, 139)",1,5,92,"(75, 118)",5,92,"(75, 118)"
