PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1344,25088,448,218,3,56,"(51, 259)",1,13,66,"(71, 279)",1,1,118,"(43, 134)",0,112,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,22400,448,180,4,50,"(51, 259)",2,14,60,"(71, 279)",1,2,112,"(43, 134)",1,106,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,22848,448,146,4,51,"(51, 259)",3,14,61,"(71, 279)",1,2,113,"(43, 134)",1,107,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,23296,448,148,4,52,"(51, 259)",4,14,62,"(71, 279)",1,2,114,"(43, 134)",1,108,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,23744,448,185,4,53,"(51, 259)",5,14,63,"(71, 279)",1,2,115,"(43, 134)",1,109,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,24192,448,207,4,54,"(51, 259)",6,14,64,"(71, 279)",1,2,116,"(43, 134)",1,110,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,24640,448,193,4,55,"(51, 259)",7,14,65,"(71, 279)",1,2,117,"(43, 134)",1,111,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,25088,448,190,4,56,"(51, 259)",8,14,66,"(71, 279)",1,2,118,"(43, 134)",1,112,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,25536,448,209,4,57,"(51, 259)",9,14,67,"(71, 279)",1,2,119,"(43, 134)",1,113,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,1792,25984,448,219,4,58,"(51, 259)",10,14,68,"(71, 279)",1,2,120,"(43, 134)",1,114,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,7168,448,208,5,16,"(51, 259)",11,15,26,"(71, 279)",1,3,78,"(43, 134)",2,72,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,7616,448,209,5,17,"(51, 259)",12,15,27,"(71, 279)",1,3,79,"(43, 134)",2,73,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,8064,448,214,5,18,"(51, 259)",13,15,28,"(71, 279)",1,3,80,"(43, 134)",2,74,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,8512,448,173,5,19,"(51, 259)",14,15,29,"(71, 279)",1,3,81,"(43, 134)",2,75,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,8960,448,143,5,20,"(51, 259)",15,15,30,"(71, 279)",1,3,82,"(43, 134)",2,76,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,9408,448,155,5,21,"(51, 259)",16,15,31,"(71, 279)",1,3,83,"(43, 134)",2,77,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,9856,448,199,5,22,"(51, 259)",17,15,32,"(71, 279)",1,3,84,"(43, 134)",2,78,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,10304,448,217,5,23,"(51, 259)",18,15,33,"(71, 279)",1,3,85,"(43, 134)",2,79,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,12544,448,207,5,28,"(51, 259)",19,15,38,"(71, 279)",1,3,90,"(43, 134)",2,84,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,14336,448,127,5,32,"(51, 259)",20,15,42,"(71, 279)",1,3,94,"(43, 134)",2,88,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,14784,448,184,5,33,"(51, 259)",21,15,43,"(71, 279)",1,3,95,"(43, 134)",2,89,"(43, 129)"
TCGA-44-3917,TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9,2240,21952,448,191,5,49,"(51, 259)",22,15,59,"(71, 279)",1,3,111,"(43, 134)",2,105,"(43, 129)"
