PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,448,13440,448,198,1,30,"(154, 49)",1,11,40,"(174, 69)",1,1,25,"(36, 90)",0,70,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,448,13888,448,179,1,31,"(154, 49)",2,11,41,"(174, 69)",1,1,26,"(36, 90)",0,71,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,12096,448,198,2,27,"(154, 49)",3,12,37,"(174, 69)",1,2,22,"(36, 90)",1,67,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,12544,448,190,2,28,"(154, 49)",4,12,38,"(174, 69)",1,2,23,"(36, 90)",1,68,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,12992,448,212,2,29,"(154, 49)",5,12,39,"(174, 69)",1,2,24,"(36, 90)",1,69,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,13440,448,170,2,30,"(154, 49)",6,12,40,"(174, 69)",1,2,25,"(36, 90)",1,70,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,13888,448,129,2,31,"(154, 49)",7,12,41,"(174, 69)",1,2,26,"(36, 90)",1,71,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,14336,448,148,2,32,"(154, 49)",8,12,42,"(174, 69)",1,2,27,"(36, 90)",1,72,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,14784,448,180,2,33,"(154, 49)",9,12,43,"(174, 69)",1,2,28,"(36, 90)",1,73,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,896,15232,448,201,2,34,"(154, 49)",10,12,44,"(174, 69)",1,2,29,"(36, 90)",1,74,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,6720,448,207,3,15,"(154, 49)",11,13,25,"(174, 69)",1,3,10,"(36, 90)",2,55,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,7168,448,191,3,16,"(154, 49)",12,13,26,"(174, 69)",1,3,11,"(36, 90)",2,56,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,7616,448,191,3,17,"(154, 49)",13,13,27,"(174, 69)",1,3,12,"(36, 90)",2,57,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,8064,448,203,3,18,"(154, 49)",14,13,28,"(174, 69)",1,3,13,"(36, 90)",2,58,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,8512,448,215,3,19,"(154, 49)",15,13,29,"(174, 69)",1,3,14,"(36, 90)",2,59,"(36, 90)"
TCGA-44-3919,TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2,1344,8960,448,208,3,20,"(154, 49)",16,13,30,"(174, 69)",1,3,15,"(36, 90)",2,60,"(36, 90)"
