PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1344,18816,448,217,3,42,"(147, 55)",1,13,52,"(167, 75)",2,35,42,"(40, 83)",34,0,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1344,19264,448,204,3,43,"(147, 55)",2,13,53,"(167, 75)",2,36,42,"(40, 83)",35,0,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,17472,448,215,4,39,"(147, 55)",3,14,49,"(167, 75)",2,32,43,"(40, 83)",31,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,17920,448,196,4,40,"(147, 55)",4,14,50,"(167, 75)",2,33,43,"(40, 83)",32,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,18368,448,170,4,41,"(147, 55)",5,14,51,"(167, 75)",2,34,43,"(40, 83)",33,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,18816,448,138,4,42,"(147, 55)",6,14,52,"(167, 75)",2,35,43,"(40, 83)",34,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,19264,448,119,4,43,"(147, 55)",7,14,53,"(167, 75)",2,36,43,"(40, 83)",35,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,1792,19712,448,159,4,44,"(147, 55)",8,14,54,"(167, 75)",2,37,43,"(40, 83)",36,1,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,16128,448,201,5,36,"(147, 55)",9,15,46,"(167, 75)",2,29,44,"(40, 83)",28,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,16576,448,172,5,37,"(147, 55)",10,15,47,"(167, 75)",2,30,44,"(40, 83)",29,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,17024,448,166,5,38,"(147, 55)",11,15,48,"(167, 75)",2,31,44,"(40, 83)",30,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,17472,448,152,5,39,"(147, 55)",12,15,49,"(167, 75)",2,32,44,"(40, 83)",31,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,17920,448,145,5,40,"(147, 55)",13,15,50,"(167, 75)",2,33,44,"(40, 83)",32,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,18368,448,139,5,41,"(147, 55)",14,15,51,"(167, 75)",2,34,44,"(40, 83)",33,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,18816,448,111,5,42,"(147, 55)",15,15,52,"(167, 75)",2,35,44,"(40, 83)",34,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,19264,448,93,5,43,"(147, 55)",16,15,53,"(167, 75)",2,36,44,"(40, 83)",35,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2240,19712,448,137,5,44,"(147, 55)",17,15,54,"(167, 75)",2,37,44,"(40, 83)",36,2,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,13888,448,214,6,31,"(147, 55)",18,16,41,"(167, 75)",2,24,45,"(40, 83)",23,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,14336,448,192,6,32,"(147, 55)",19,16,42,"(167, 75)",2,25,45,"(40, 83)",24,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,14784,448,195,6,33,"(147, 55)",20,16,43,"(167, 75)",2,26,45,"(40, 83)",25,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,15232,448,195,6,34,"(147, 55)",21,16,44,"(167, 75)",2,27,45,"(40, 83)",26,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,15680,448,174,6,35,"(147, 55)",22,16,45,"(167, 75)",2,28,45,"(40, 83)",27,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,16128,448,136,6,36,"(147, 55)",23,16,46,"(167, 75)",2,29,45,"(40, 83)",28,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,16576,448,133,6,37,"(147, 55)",24,16,47,"(167, 75)",2,30,45,"(40, 83)",29,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,17024,448,128,6,38,"(147, 55)",25,16,48,"(167, 75)",2,31,45,"(40, 83)",30,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,17472,448,118,6,39,"(147, 55)",26,16,49,"(167, 75)",2,32,45,"(40, 83)",31,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,17920,448,127,6,40,"(147, 55)",27,16,50,"(167, 75)",2,33,45,"(40, 83)",32,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,18368,448,125,6,41,"(147, 55)",28,16,51,"(167, 75)",2,34,45,"(40, 83)",33,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,18816,448,105,6,42,"(147, 55)",29,16,52,"(167, 75)",2,35,45,"(40, 83)",34,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,19264,448,79,6,43,"(147, 55)",30,16,53,"(167, 75)",2,36,45,"(40, 83)",35,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,19712,448,114,6,44,"(147, 55)",31,16,54,"(167, 75)",2,37,45,"(40, 83)",36,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,2688,20160,448,212,6,45,"(147, 55)",32,16,55,"(167, 75)",2,38,45,"(40, 83)",37,3,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,13440,448,202,7,30,"(147, 55)",33,17,40,"(167, 75)",2,23,46,"(40, 83)",22,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,13888,448,148,7,31,"(147, 55)",34,17,41,"(167, 75)",2,24,46,"(40, 83)",23,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,14336,448,113,7,32,"(147, 55)",35,17,42,"(167, 75)",2,25,46,"(40, 83)",24,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,14784,448,112,7,33,"(147, 55)",36,17,43,"(167, 75)",2,26,46,"(40, 83)",25,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,15232,448,106,7,34,"(147, 55)",37,17,44,"(167, 75)",2,27,46,"(40, 83)",26,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,15680,448,101,7,35,"(147, 55)",38,17,45,"(167, 75)",2,28,46,"(40, 83)",27,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,16128,448,91,7,36,"(147, 55)",39,17,46,"(167, 75)",2,29,46,"(40, 83)",28,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,16576,448,91,7,37,"(147, 55)",40,17,47,"(167, 75)",2,30,46,"(40, 83)",29,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,17024,448,93,7,38,"(147, 55)",41,17,48,"(167, 75)",2,31,46,"(40, 83)",30,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,17472,448,96,7,39,"(147, 55)",42,17,49,"(167, 75)",2,32,46,"(40, 83)",31,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,17920,448,107,7,40,"(147, 55)",43,17,50,"(167, 75)",2,33,46,"(40, 83)",32,4,"(40, 79)"
TCGA-44-7661,TCGA-44-7661-01Z-00-DX1.baf72abd-edb9-4f56-beb3-f5138aa50930,3136,18368,448,110,7,41,"(147, 55)",44,17,51,"(167, 75)",2,34,46,"(40, 83)",33,4,"(40, 79)"
