PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,4480,448,195,4,10,"(65, 229)",1,14,20,"(85, 249)",1,1,9,"(57, 70)",0,40,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,4928,448,193,4,11,"(65, 229)",2,14,21,"(85, 249)",1,1,10,"(57, 70)",0,41,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,5376,448,198,4,12,"(65, 229)",3,14,22,"(85, 249)",1,1,11,"(57, 70)",0,42,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,5824,448,209,4,13,"(65, 229)",4,14,23,"(85, 249)",1,1,12,"(57, 70)",0,43,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,6272,448,209,4,14,"(65, 229)",5,14,24,"(85, 249)",1,1,13,"(57, 70)",0,44,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,88704,448,160,4,198,"(65, 229)",6,14,208,"(85, 249)",2,1,46,"(57, 70)",0,11,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,89152,448,153,4,199,"(65, 229)",7,14,209,"(85, 249)",2,1,47,"(57, 70)",0,12,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,89600,448,154,4,200,"(65, 229)",8,14,210,"(85, 249)",2,1,48,"(57, 70)",0,13,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,90048,448,177,4,201,"(65, 229)",9,14,211,"(85, 249)",2,1,49,"(57, 70)",0,14,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,90496,448,189,4,202,"(65, 229)",10,14,212,"(85, 249)",2,1,50,"(57, 70)",0,15,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,90944,448,206,4,203,"(65, 229)",11,14,213,"(85, 249)",2,1,51,"(57, 70)",0,16,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,91392,448,217,4,204,"(65, 229)",12,14,214,"(85, 249)",2,1,52,"(57, 70)",0,17,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,94080,448,219,4,210,"(65, 229)",13,14,220,"(85, 249)",2,1,58,"(57, 70)",0,23,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,1792,94528,448,219,4,211,"(65, 229)",14,14,221,"(85, 249)",2,1,59,"(57, 70)",0,24,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,4032,448,192,5,9,"(65, 229)",15,15,19,"(85, 249)",1,2,8,"(57, 70)",1,39,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,4480,448,131,5,10,"(65, 229)",16,15,20,"(85, 249)",1,2,9,"(57, 70)",1,40,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,4928,448,127,5,11,"(65, 229)",17,15,21,"(85, 249)",1,2,10,"(57, 70)",1,41,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,5376,448,119,5,12,"(65, 229)",18,15,22,"(85, 249)",1,2,11,"(57, 70)",1,42,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,5824,448,122,5,13,"(65, 229)",19,15,23,"(85, 249)",1,2,12,"(57, 70)",1,43,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,6272,448,125,5,14,"(65, 229)",20,15,24,"(85, 249)",1,2,13,"(57, 70)",1,44,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,6720,448,134,5,15,"(65, 229)",21,15,25,"(85, 249)",1,2,14,"(57, 70)",1,45,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,7168,448,133,5,16,"(65, 229)",22,15,26,"(85, 249)",1,2,15,"(57, 70)",1,46,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,7616,448,138,5,17,"(65, 229)",23,15,27,"(85, 249)",1,2,16,"(57, 70)",1,47,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,8064,448,157,5,18,"(65, 229)",24,15,28,"(85, 249)",1,2,17,"(57, 70)",1,48,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,8512,448,172,5,19,"(65, 229)",25,15,29,"(85, 249)",1,2,18,"(57, 70)",1,49,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,8960,448,187,5,20,"(65, 229)",26,15,30,"(85, 249)",1,2,19,"(57, 70)",1,50,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,9408,448,207,5,21,"(65, 229)",27,15,31,"(85, 249)",1,2,20,"(57, 70)",1,51,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,88256,448,200,5,197,"(65, 229)",28,15,207,"(85, 249)",2,2,45,"(57, 70)",1,10,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,88704,448,141,5,198,"(65, 229)",29,15,208,"(85, 249)",2,2,46,"(57, 70)",1,11,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,89152,448,138,5,199,"(65, 229)",30,15,209,"(85, 249)",2,2,47,"(57, 70)",1,12,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,89600,448,130,5,200,"(65, 229)",31,15,210,"(85, 249)",2,2,48,"(57, 70)",1,13,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,90048,448,120,5,201,"(65, 229)",32,15,211,"(85, 249)",2,2,49,"(57, 70)",1,14,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,90496,448,125,5,202,"(65, 229)",33,15,212,"(85, 249)",2,2,50,"(57, 70)",1,15,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,90944,448,132,5,203,"(65, 229)",34,15,213,"(85, 249)",2,2,51,"(57, 70)",1,16,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,91392,448,137,5,204,"(65, 229)",35,15,214,"(85, 249)",2,2,52,"(57, 70)",1,17,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,91840,448,143,5,205,"(65, 229)",36,15,215,"(85, 249)",2,2,53,"(57, 70)",1,18,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,92288,448,164,5,206,"(65, 229)",37,15,216,"(85, 249)",2,2,54,"(57, 70)",1,19,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,92736,448,184,5,207,"(65, 229)",38,15,217,"(85, 249)",2,2,55,"(57, 70)",1,20,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,93184,448,203,5,208,"(65, 229)",39,15,218,"(85, 249)",2,2,56,"(57, 70)",1,21,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,93632,448,215,5,209,"(65, 229)",40,15,219,"(85, 249)",2,2,57,"(57, 70)",1,22,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,94080,448,213,5,210,"(65, 229)",41,15,220,"(85, 249)",2,2,58,"(57, 70)",1,23,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2240,94528,448,218,5,211,"(65, 229)",42,15,221,"(85, 249)",2,2,59,"(57, 70)",1,24,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,4032,448,158,6,9,"(65, 229)",43,16,19,"(85, 249)",1,3,8,"(57, 70)",2,39,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,4480,448,126,6,10,"(65, 229)",44,16,20,"(85, 249)",1,3,9,"(57, 70)",2,40,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,4928,448,128,6,11,"(65, 229)",45,16,21,"(85, 249)",1,3,10,"(57, 70)",2,41,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,5376,448,120,6,12,"(65, 229)",46,16,22,"(85, 249)",1,3,11,"(57, 70)",2,42,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,5824,448,110,6,13,"(65, 229)",47,16,23,"(85, 249)",1,3,12,"(57, 70)",2,43,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,6272,448,115,6,14,"(65, 229)",48,16,24,"(85, 249)",1,3,13,"(57, 70)",2,44,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,6720,448,115,6,15,"(65, 229)",49,16,25,"(85, 249)",1,3,14,"(57, 70)",2,45,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,7168,448,115,6,16,"(65, 229)",50,16,26,"(85, 249)",1,3,15,"(57, 70)",2,46,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,7616,448,113,6,17,"(65, 229)",51,16,27,"(85, 249)",1,3,16,"(57, 70)",2,47,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,8064,448,118,6,18,"(65, 229)",52,16,28,"(85, 249)",1,3,17,"(57, 70)",2,48,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,8512,448,114,6,19,"(65, 229)",53,16,29,"(85, 249)",1,3,18,"(57, 70)",2,49,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,8960,448,121,6,20,"(65, 229)",54,16,30,"(85, 249)",1,3,19,"(57, 70)",2,50,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,9408,448,135,6,21,"(65, 229)",55,16,31,"(85, 249)",1,3,20,"(57, 70)",2,51,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,9856,448,159,6,22,"(65, 229)",56,16,32,"(85, 249)",1,3,21,"(57, 70)",2,52,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,10304,448,196,6,23,"(65, 229)",57,16,33,"(85, 249)",1,3,22,"(57, 70)",2,53,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,88256,448,163,6,197,"(65, 229)",58,16,207,"(85, 249)",2,3,45,"(57, 70)",2,10,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,88704,448,138,6,198,"(65, 229)",59,16,208,"(85, 249)",2,3,46,"(57, 70)",2,11,"(57, 66)"
TCGA-44-7671,TCGA-44-7671-01Z-00-DX1.00297baa-00e7-4894-a7b8-c9ac2a9d42d8,2688,89152,448,141,6,199,"(65, 229)",60,16,209,"(85, 249)",2,3,47,"(57, 70)",2,12,"(57, 66)"
