PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,0,21952,448,203,0,49,"(93, 70)",1,10,59,"(113, 90)",1,1,45,"(89, 67)",1,45,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,0,22400,448,218,0,50,"(93, 70)",2,10,60,"(113, 90)",1,1,46,"(89, 67)",1,46,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,448,21056,448,191,1,47,"(93, 70)",3,11,57,"(113, 90)",1,2,43,"(89, 67)",2,43,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,448,21504,448,185,1,48,"(93, 70)",4,11,58,"(113, 90)",1,2,44,"(89, 67)",2,44,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,448,21952,448,182,1,49,"(93, 70)",5,11,59,"(113, 90)",1,2,45,"(89, 67)",2,45,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,448,22400,448,198,1,50,"(93, 70)",6,11,60,"(113, 90)",1,2,46,"(89, 67)",2,46,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,448,22848,448,186,1,51,"(93, 70)",7,11,61,"(113, 90)",1,2,47,"(89, 67)",2,47,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,896,20608,448,207,2,46,"(93, 70)",8,12,56,"(113, 90)",1,3,42,"(89, 67)",3,42,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,896,21056,448,164,2,47,"(93, 70)",9,12,57,"(113, 90)",1,3,43,"(89, 67)",3,43,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,896,21504,448,153,2,48,"(93, 70)",10,12,58,"(113, 90)",1,3,44,"(89, 67)",3,44,"(89, 67)"
TCGA-55-6981,TCGA-55-6981-01Z-00-DX1.5fecd134-42a0-40a2-be75-1e8bd14c5b30,896,21952,448,164,2,49,"(93, 70)",11,12,59,"(113, 90)",1,3,45,"(89, 67)",3,45,"(89, 67)"
