PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,1792,52864,448,219,4,118,"(108, 128)",1,14,128,"(128, 148)",1,1,112,"(102, 122)",1,112,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,51072,448,207,5,114,"(108, 128)",2,15,124,"(128, 148)",1,2,108,"(102, 122)",2,108,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,51520,448,172,5,115,"(108, 128)",3,15,125,"(128, 148)",1,2,109,"(102, 122)",2,109,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,51968,448,154,5,116,"(108, 128)",4,15,126,"(128, 148)",1,2,110,"(102, 122)",2,110,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,52416,448,143,5,117,"(108, 128)",5,15,127,"(128, 148)",1,2,111,"(102, 122)",2,111,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,52864,448,140,5,118,"(108, 128)",6,15,128,"(128, 148)",1,2,112,"(102, 122)",2,112,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,53312,448,139,5,119,"(108, 128)",7,15,129,"(128, 148)",1,2,113,"(102, 122)",2,113,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,53760,448,148,5,120,"(108, 128)",8,15,130,"(128, 148)",1,2,114,"(102, 122)",2,114,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,54208,448,169,5,121,"(108, 128)",9,15,131,"(128, 148)",1,2,115,"(102, 122)",2,115,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,54656,448,189,5,122,"(108, 128)",10,15,132,"(128, 148)",1,2,116,"(102, 122)",2,116,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2240,55104,448,206,5,123,"(108, 128)",11,15,133,"(128, 148)",1,2,117,"(102, 122)",2,117,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2688,50176,448,194,6,112,"(108, 128)",12,16,122,"(128, 148)",1,3,106,"(102, 122)",3,106,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2688,50624,448,158,6,113,"(108, 128)",13,16,123,"(128, 148)",1,3,107,"(102, 122)",3,107,"(102, 122)"
TCGA-55-6982,TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300,2688,51072,448,146,6,114,"(108, 128)",14,16,124,"(128, 148)",1,3,108,"(102, 122)",3,108,"(102, 122)"
