PatientID,SlideName,StartHeight,StartWidth,PatchSize,GrayIntensity,y_msk,x_msk,mask_shape,PatchID,y_merge,x_merge,merge_shape,TissueID,y_pack,x_pack,pack_shape,y_optimized,x_optimized,optimized_shape
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,12992,448,203,18,29,"(123, 213)",1,28,39,"(143, 233)",1,23,1,"(75, 98)",10,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,13440,448,189,18,30,"(123, 213)",2,28,40,"(143, 233)",1,24,1,"(75, 98)",9,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,13888,448,199,18,31,"(123, 213)",3,28,41,"(143, 233)",1,25,1,"(75, 98)",8,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,14336,448,192,18,32,"(123, 213)",4,28,42,"(143, 233)",1,26,1,"(75, 98)",7,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,14784,448,190,18,33,"(123, 213)",5,28,43,"(143, 233)",1,27,1,"(75, 98)",6,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8064,15232,448,212,18,34,"(123, 213)",6,28,44,"(143, 233)",1,28,1,"(75, 98)",5,72,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8512,12544,448,203,19,28,"(123, 213)",7,29,38,"(143, 233)",1,22,2,"(75, 98)",11,73,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8512,12992,448,173,19,29,"(123, 213)",8,29,39,"(143, 233)",1,23,2,"(75, 98)",10,73,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8512,13440,448,183,19,30,"(123, 213)",9,29,40,"(143, 233)",1,24,2,"(75, 98)",9,73,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8512,13888,448,184,19,31,"(123, 213)",10,29,41,"(143, 233)",1,25,2,"(75, 98)",8,73,"(75, 91)"
TCGA-22-4596,TCGA-22-4596-01Z-00-DX1,8512,14336,448,169,19,32,"(123, 213)",11,29,42,"(143, 233)",1,26,2,"(75, 98)",7,73,"(75, 91)"
